Acatlán
Concepto,valor
Gasolinerias establecidas,2 Establecimientos
Tienda Diconsa,13 Tiendas
Tianguis,1 Tianguis
Mercados públicos,1 Mercados
Centrales de Abasto,0 Centrales
Centros de copio de granos y oleaginosas,0 Centros de Acopio
Liconsa puntos de atención,1 Establecimientos
Liconsa familias beneficiadas,88 Familias
Liconsa beneficiarios,169 Beneficiarios
Liconsa dotación anual de leche fortificada (litros),20304.00 Lt
Liconsa importe de la venta de leche fortificada (miles de pesos),$ 100.36
Concepto,valor
Total longitud carretera (km),185.76 Km
Longitud carretera Troncal federal pavimentada (km),0.00 Km
Longitud carretera alimentadoras estatales pavimentadas (km),11.20 Km
Longitud carretera alimentadoras estatales revestida (km),0.00 Km
Longitud carretera caminos rurales pavimentada (km),0.0 Km
Longitud carretera caminos rurales revestida (km),139.82 Km
Longitud carretera brechas mejoradas (km),34.74 Km
Total Longitud carretera federal de cuota según administración (km),0.00 Km
Longitud red carretera federal de cuota administración federal (km),0.00 Km
Longitud red carretera federal de cuota administración estatal (km),0.00 Km
Longitud red carretera federal de cuota administración particular (km),0.00 Km
Concepto,valor
Bibliotecas públicas,3 Bibliotecas
Bibliotecas públicas personal ocupado,3 Personal
Bibliotecas públicas títulos,9 598 Títulos
Bibliotecas públicas libros en existencia,10 425 Libros
Bibliotecas públicas consultas realizadas,8 023 Consultas
Bibliotecas públicas usuarios,8 297 Usuarios
Áreas y espacios deportivos  albercas,0 Albercas
Áreas y espacios deportivos  campos de béisbol,0 Campos
Áreas y espacios deportivos  campos y canchas de fútbol,12 Campos y canchas
Áreas y espacios deportivos  canchas de básquetbol,6 Canchas
Áreas y espacios deportivos  canchas de voleibol,0 Canchas
Áreas y espacios deportivos  pistas de atletismo y trotapistas,0 Pistas
Concepto,valor
Unidades económicas,236 Unidades
Personal ocupado dependiente de la razón social,381 Personas
Remuneraciones (Millones de pesos),$ 2.40 Mdp
Producción bruta total (Millones de pesos),$ 40 Mdp
Valor agregado censal bruto (Millones de pesos),$ 21.51 Mdp
Total de activos fijos (Millones de pesos),$ 21.94 Mdp
Población total de 12 años y más,0 Personas
Población Económicamente Activa Total,45.91%
Población Económicamente Activa Desocupada,97.11%
Población Económicamente Activa Ocupada,2.88%
Población no económicamente activa,54%
Población ocupada,0 Personas
Funcionarios  profesionistas  técnicos y administrativos,8%
Trabajadores agropecuarios,39%
Trabajadores en la industria,22%
Comerciantes y trabajadores en servicios diversos,29.66%
Trabajadores asalariados,41.41%
Trabajadores no asalariados,14.33%
Ingreso por trabajo hasta 1 s.m.2,35%
Ingreso por trabajo más de 2 s.m.,40%
Ingreso por trabajo no especificado,10.30%
Ingreso por remesas Ene-Mar 2018,0.87 mdd
Ingreso por remesas Abr-Jun 2018,1.02 mdd
Ingreso por remesas Jul-Sep 2018,0.96 mdd
Índice de Intensidad Migratoria_2010,6.69
Grado de Intensidad Migratoria_2010,Muy Alto
Concepto,valor
Educación Preescolar Escuelas,40 Escuelas
Educación Preescolar Alumnos,888 Alumnos
Educación Preescolar Docentes,52Docentes
Educación Primaria Escuelas,36 Escuelas
Educación Primaria Alumnos,2 963 Alumnos
Educación Primaria Docentes,123 Docentes
Educación Secundaria Escuelas,14 Escuelas
Educación Secundaria Alumnos,1 249 Alumnos
Educación Secundaria Docentes,64 Docentes
Educación Media Superior Escuelas,3 Alumnos
Educación Media Superior Alumnos,294 Alumnos
Educación Media Superior Docentes,20 Docentes
Grado Promedio de Escolaridad,7 años cursados
Porcentaje de Analfabetismo,12.97%
Concepto,valor
Superficie,242 Km2
Concepto,valor
Población total,21 044 Personas
Porcentaje de población de 15 años o más analfabeta,13.00%
Porcentaje de población de 15 años o más sin primaria completa,31.63%
Porcentaje de ocupantes en viviendas sin agua entubada,11%
Porcentaje de ocupantes en viviendas sin energía eléctrica,3%
Porcentaje de ocupantes en viviendas sin agua entubada,6%
Porcentaje de viviendas con algún nivel de hacinamiento,35%
Porcentaje de ocupantes en viviendas con piso de tierra,1.77%
Porcentaje de población en localidades con menos de 5 000 habitantes,100.00%
Porcentaje de población ocupada con ingresos de hasta 2 salarios mínimos,50%
Ìndice de marginación,0.0700
Grado de marginación,Medio
Lugar que ocupa en el contexto estatal,28
Lugar que ocupa en el contexto nacional,28
Clave Zona Metropolitana,
Zona metropolitana,
Clave cuenca,26A01
Cuenca Hidrográfica,Río Panuco
Concepto,valor
Población Total,21 044 Personas
Población Hombres,10 064 Personas
Población Mujeres,10 980 Personas
Defunciones,144 Defunciones
Matrimonios,138 Matrimonios
Divorcios,0 Divorcios
Concepto,valor
Porcentaje de personas en pobreza,60.03%
Personas en pobreza,13 316 Personas
Porcentaje de personas en pobreza extrema,11.14%
Personas en pobreza extrema,2 472 Personas
Porcentaje de personas en pobreza moderada,48.89%
Personas en pobreza moderada,10 844 Personas
Porcentaje de personas vulnerables por carencia social,36%
Personas vulnerables por carencia social,8 056 Personas
Porcentaje de personas vulnerables por ingreso,1%
Personas vulnerables por ingreso,183 Personas
Porcentaje de personas no pobres y no vulnerables,2.81%
Personas no pobres y no vulnerables,625 Personas
Porcentaje de rezago educativo,29.96%
Personas en rezago educativo,6 645 Personas
