Acatlán
Información del Tema: Comercio
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017.
Concepto,valor
Gasolinerias establecidas,2 Establecimientos
Tienda Diconsa,13 Tiendas
Tianguis,1 Tianguis
Mercados públicos,1 Mercados
Centrales de Abasto,0 Centrales
Centros de copio de granos y oleaginosas,0 Centros de Acopio
Liconsa puntos de atención,1 Establecimientos
Liconsa familias beneficiadas,88 Familias
Liconsa beneficiarios,169 Beneficiarios
Liconsa dotación anual de leche fortificada (litros),20304.00 Lt
Liconsa importe de la venta de leche fortificada (miles de pesos),$ 100.36
Información del Tema: Comunicación y Transporte
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017.
Concepto,valor
Total longitud carretera (km),185.76 Km
Longitud carretera Troncal federal pavimentada (km),0.00 Km
Longitud carretera alimentadoras estatales pavimentadas (km),11.20 Km
Longitud carretera alimentadoras estatales revestida (km),0.00 Km
Longitud carretera caminos rurales pavimentada (km),0.0 Km
Longitud carretera caminos rurales revestida (km),139.82 Km
Longitud carretera brechas mejoradas (km),34.74 Km
Total Longitud carretera federal de cuota según administración (km),0.00 Km
Longitud red carretera federal de cuota administración federal (km),0.00 Km
Longitud red carretera federal de cuota administración estatal (km),0.00 Km
Longitud red carretera federal de cuota administración particular (km),0.00 Km
Información del Tema: Cultura y Deporte
Fuente: Anuario Estadístico y Geográfico del Estado de Hidalgo, 2017..
Concepto,valor
Bibliotecas públicas,3 Bibliotecas
Bibliotecas públicas personal ocupado,3 Personal
Bibliotecas públicas títulos,9,598 Títulos
Bibliotecas públicas libros en existencia,10,425 Libros
Bibliotecas públicas consultas realizadas,8,023 Consultas
Bibliotecas públicas usuarios,8,297 Usuarios
Áreas y espacios deportivos, albercas,0 Albercas
Áreas y espacios deportivos, campos de béisbol,0 Campos
Áreas y espacios deportivos, campos y canchas de fútbol,12 Campos y canchas
Áreas y espacios deportivos, canchas de básquetbol,6 Canchas
Áreas y espacios deportivos, canchas de voleibol,0 Canchas
Áreas y espacios deportivos, pistas de atletismo y trotapistas,0 Pistas
Información del Tema: Económico
Fuente: INEGI.Encuesta Intercensal 2015. CONAPO 2010. Remesas 2018 Banco de México.
Concepto,valor
Unidades económicas,236 Unidades
Personal ocupado dependiente de la razón social,381 Personas
Remuneraciones (Millones de pesos),$ 2.40 Mdp
Producción bruta total (Millones de pesos),$ 40 Mdp
Valor agregado censal bruto (Millones de pesos),$ 21.51 Mdp
Total de activos fijos (Millones de pesos),$ 21.94 Mdp
Población total de 12 años y más,0 Personas
Población Económicamente Activa Total,45.91%
Población Económicamente Activa Desocupada,97.11%
Población Económicamente Activa Ocupada,2.88%
Población no económicamente activa,54%
Población ocupada,0 Personas
